"country_code"	"Total"
	1680
"AD"	10761
"AE"	21
"AR"	36679535
"AU"	7
"BE"	7
"BO"	141976
"BQ"	334
"BR"	127273
"BS"	1583
"BZ"	580
"CA"	7
"CH"	3
"CL"	5701846
"CO"	8638150
"CR"	842176
"CU"	33455
"CW"	2124
"DE"	0
"DO"	1062227
"DZ"	41981
"EC"	1852695
"EH"	26
"ES"	22240135
"FK"	31
"FR"	35446
"GB"	19
"GD"	130
"GI"	2797
"GT"	701162
"GY"	91
"HN"	220333
"HT"	1528
"ID"	5
"IT"	37
"JM"	16
"JP"	0
"KE"	0
"KY"	2051
"LT"	0
"MA"	230
"MC"	18
"MX"	14171764
"NI"	363992
"NO"	0
"PA"	951526
"PE"	2411384
"PR"	59445
"PT"	10283
"PY"	1259737
"SM"	8
"SV"	346574
"TR"	8
"TT"	2794
"TW"	28
"US"	1575338
"UY"	4184374
"VE"	7104498
"NA"	22349
