idtweets	id	fecha	place_name	place	id_busqueda	contexto_reducido	results	match	random_sample	valid_match
723823593486852e3	3355	2016-04-23T10:39:27Z	La Vall d'Uixó	ece9f6c90400b0cf	1	las amigas son la familia que se elige	0	FALSE	NA	NA
723823751201051e3	3512	2016-04-23T10:40:04Z	Algarrobo	717a7e013e9f153a	2	la familia	0	FALSE	NA	NA
723824485351207e3	4242	2016-04-23T10:42:59Z	Lima	004940260158a964	3	la familia esta es una mugre	0	FALSE	NA	NA
723824546818695e3	4317	2016-04-23T10:43:14Z	Entre Ríos	5a31f78df98634d6	4	a ver la familia al pueblooo	0	FALSE	NA	NA
723825082288591e3	4881	2016-04-23T10:45:22Z	Madrid	206c436ce43a43a3	5	la familia ministerica ya estamos por	0	FALSE	NA	NA
723827816412881e3	7535	2016-04-23T10:56:14Z	Ermua	e3474cddebe0b70c	6	yo leí la familia alojamiento con tensión completa	0	FALSE	NA	NA
729006095788855e3	15047	2016-05-07T17:52:52Z	Campana	0032fe6c612e7934	7	la familia disfrutando es una postal	0	FALSE	NA	NA
729007677112726e3	19769	2016-05-07T17:59:09Z	Mijas	910495785831d06f	8	la familia fernández rodríguez al completo	0	FALSE	NA	NA
729008202281419e3	21452	2016-05-07T18:01:14Z	Panamá	9d8ae4b0fac2036a	9	la familia	0	FALSE	NA	NA
72901009376163e4	26747	2016-05-07T18:08:45Z	Guayaquil	009924a469d7ace1	10	alexzurdomusic nada como la familia que dios nos da	0	FALSE	NA	NA
729010631408538e3	28227	2016-05-07T18:10:53Z	Bogotá, D.C.	0161be1b3f98d6c3	11	la familia	0	FALSE	NA	NA
729011216551653e3	29925	2016-05-07T18:13:13Z	Carabobo	015d19216c749864	12	la familia completa en la	1	lafamilia_3sg_pos	NA	NA
729014492491719e3	39114	2016-05-07T18:26:14Z	Panamá	9d8ae4b0fac2036a	13	la familia que produce miles de	0	FALSE	NA	NA
733283113929937e3	40369	2016-05-19T13:08:12Z	Medellín	00698bbe577bad5b	14	hoy se reúne la familia	1	lafamilia_3sg_ant	NA	NA
733283852215562e3	42042	2016-05-19T13:11:08Z	Madrid	206c436ce43a43a3	15	este domingo la familia socialista nos reunimos en	0	FALSE	NA	NA
745926706595267e3	50935	2016-06-23T10:29:20Z	Chaco	7ef2a4f4beedc767	16	salto la familia entera jajajajaj	0	FALSE	NA	NA
745926972220506e3	51264	2016-06-23T10:30:23Z	Zaragoza	3afc29d1fe76301f	17	qué tal la familia	0	FALSE	NA	NA
745928767021916e3	53257	2016-06-23T10:37:31Z	Artà	ae80010930d31ceb	18	lo malo es la familia desestructurada o	0	FALSE	NA	NA
74593001673157e4	54698	2016-06-23T10:42:29Z	Valencia	071a52d3a927a1b8	19	es la familia	0	FALSE	NA	NA
745937660691223e3	64523	2016-06-23T11:12:51Z	Palma	6c1be133511970bc	20	la familia	0	FALSE	NA	NA
745937763309076e3	64691	2016-06-23T11:13:16Z	Barcelona	1a27537478dd8e38	21	que no es la familia real: es la familia	0	FALSE	NA	NA
745938247591793e3	65377	2016-06-23T11:15:11Z	Bogotá, D.C.	0161be1b3f98d6c3	22	la familia que la entregó a	0	FALSE	NA	NA
729030054160798e3	68137	2016-05-07T19:28:04Z	Venezuela	043383f8b2b79918	23	la familia schmeichel	0	FALSE	NA	NA
729031547014287e3	72262	2016-05-07T19:34:00Z	Mislata	de0394449cd64440	24	hemos demostrado la familia en la que nos	0	FALSE	NA	NA
