idplaces	place_type	name	full_name	country_code	country	id	longitude	latitude
000073352b5bd43a	city	Pico Truncado	Pico Truncado, Argentina	AR	Argentina	1	-67.9561153	-46.7965242
0000ffd41ff0eaac	city	Pereira	Pereira, Colombia	CO	Colombia	2	-75.690601	4.8087174
0001eac9096ed83c	city	San Fernando del Valle de Catamarca	San Fernando del Valle de Catamarca, Argentina	AR	Argentina	3	-65.7795441	-28.469581
00025abf09ee76e2	city	Caucasia	Caucasia, Colombia	CO	Colombia	4	-75.1985629	7.979698
000292fc001f4dc4	city	Cosquín	Cosquín, Argentina	AR	Argentina	5	-64.4703813	-31.2468127
0003325e5c63a062	city	Victor Larco Herrera	Victor Larco Herrera, Peru	PE	Peru	6	-79.046992	-8.133917799999999
0003557c7b244fd3	admin	San José	San José, Costa Rica	CR	Costa Rica	7	-84.0907246	9.9280694
0003b65730e429eb	city	Barrio Parque Almirante Irizar	Barrio Parque Almirante Irizar, Argentina	AR	Argentina	8	-58.4002472	-34.5796724
000426466c9f6e32	city	La Romana	La Romana, Dominican Republic	DO	Dominican Republic	9	-68.9658817	18.4338645
00049798250632c1	city	Girardot	Girardot, Colombia	CO	Colombia	10	-74.8031414	4.3045959
0004c3fb58780d2a	city	Callao	Callao, Peru	PE	Peru	11	-77.1259843	-12.0508491
00054d3a0a8df14e	city	Mendoza	Mendoza, Argentina	AR	Argentina	12	-68.8458386	-32.8894587
00058899244b705d	city	San Bartolo	San Bartolo, Peru	PE	Peru	13	-76.77046419999999	-12.3849381
0005a92a6b72edeb	city	Pilar	Pilar, Argentina	AR	Argentina	14	-58.9091671	-34.4778621
0005b7263270d37f	city	Buin	Buin, Chile	CL	Chile	15	-70.742431	-33.7313897
000740067e1156ab	city	Chía	Chía, Colombia	CO	Colombia	16	-74.0325368	4.8615787
0008033749106b3d	city	Ventanas	Ventanas, Ecuador	EC	Ecuador	17	-79.4604818	-1.4441882
00082bc93ac0e177	city	Montalvo	Montalvo, Ecuador	EC	Ecuador	18	-79.2873953	-1.7879521
00082d21223f8397	city	Santa Marta	Santa Marta, Colombia	CO	Colombia	19	-74.2110227	11.2403547
00090761404cb268	city	Chimbas	Chimbas, Argentina	AR	Argentina	20	-68.51279079999999	-31.4922964
000a15027a9003e0	city	Cañada de Gomez	Cañada de Gomez, Argentina	AR	Argentina	21	-61.3953734	-32.8211646
000a610a5a637388	city	Valdivia	Valdivia, Colombia	CO	Colombia	22	-75.39215	7.29117
000a85935b3608b2	city	Cañuelas	Cañuelas, Argentina	AR	Argentina	23	-58.75950530000001	-35.04914249999999
000ac536774ebaa6	city	Pedro Aguirre Cerda	Pedro Aguirre Cerda, Chile	CL	Chile	24	-70.67650259999999	-33.4940901
000af2920fcd0d30	city	Temuco	Temuco, Chile	CL	Chile	25	-72.5903739	-38.7359018
000b2cae4cb227ee	city	Strobel	Strobel, Argentina	AR	Argentina	26	-71.1960709	-48.444126
000c53bd03a3e3ec	city	Tuluá	Tuluá, Colombia	CO	Colombia	27	-76.1914991	4.089869
000c865e5c2c5ada	city	Barrancas	Barrancas, Venezuela	VE	Venezuela	28	-62.2010974	8.7009358
000cd22f253ee776	city	Yumbo	Yumbo, Colombia	CO	Colombia	29	-76.495026	3.545337
000ce4b0629a5a40	city	Corozal	Corozal, Colombia	CO	Colombia	30	-75.294467	9.321697000000002
000ceddc32916a4c	city	Lomas de Zamora	Lomas de Zamora, Argentina	AR	Argentina	31	-58.4302476	-34.76118230000001
000cf3e166414072	city	Chivacoa	Chivacoa, Venezuela	VE	Venezuela	32	-68.89732680000002	10.1572383
000da1a228db0cf7	city	Duran	Duran, Ecuador	EC	Ecuador	33	-79.8397207	-2.168974
000da7fb7004f1bc	city	Mocoa	Mocoa, Colombia	CO	Colombia	34	-76.651055	1.15234
000f0d3a479dc2ba	city	Lajas	Lajas, USA	US	United States	35	-67.05076600000001	18.038066
000f50400f2ec9b3	city	Uruguay	Uruguay, Argentina	AR	Argentina	36	-58.2344527	-32.485827
000f71136a018c6b	admin	Quillota	Quillota, Valparaíso	CL	Chile	37	-71.2497156	-32.8803027
001040bd29e08949	city	Ushuaia	Ushuaia, Argentina	AR	Argentina	38	-68.3029511	-54.8019121
0010b4cb51ca93d8	city	Santiago	Santiago, Chile	CL	Chile	39	-70.6692655	-33.4488897
0010d1225473d783	city	Panguipulli	Panguipulli, Chile	CL	Chile	40	-72.3370089	-39.6415998
001159047bb9935e	city	Villa Gobernador Gálvez	Villa Gobernador Gálvez, Argentina	AR	Argentina	41	-60.6337608	-33.0255203
0014e5be2018f233	city	Esquel	Esquel, Argentina	AR	Argentina	42	-71.31431169999999	-42.9095281
0015065c5a4fa3c4	admin	Itapua	Itapua, Paraguay	PY	Paraguay	43	-55.6689636	-26.7923623
0015f9d50ae3c4d7	city	Yarumal	Yarumal, Colombia	CO	Colombia	44	-75.4190689	6.961969
0016a28c5fdad928	city	General Roca	General Roca, Argentina	AR	Argentina	45	-67.5892227	-39.032803
0016b0ca4701a899	city	Buenaventura	Buenaventura, Colombia	CO	Colombia	46	-77.01972119999999	3.8830471
001751105a5e4c94	city	Maule	Maule, Chile	CL	Chile	47	-71.6884912	-35.5183364
001761ed5e7c7c15	city	Magdalena Vieja	Magdalena Vieja, Peru	PE	Peru	48	-77.0692591	-12.0752423
0017753e191a1a9e	city	Talca	Talca, Chile	CL	Chile	49	-71.6484804	-35.4232444
